"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"T8S5NR5J","journalArticle","2014","Numerof, R.; Nash, D.","Defining the job description for population health.","Modern healthcare","","0160-7480","","","","2014","2023-01-17 12:05:20","2023-01-17 12:05:20","","25","","17","44","","","","","","","","","","English","","","Scopus","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MA9RGWU5","journalArticle","2002","O'Neill, Onora","Public health or clinical ethics: thinking beyond borders","Ethics & International Affairs","","0892-6794","10.1111/j.1747-7093.2002.tb00395.x","","","2002","2023-01-17 12:05:20","2023-01-17 23:13:05","","35-45","","2","16","","Ethics Int Aff","Public health or clinical ethics","","","","","","","eng","","","","","PubMed","","PMID: 15709277","","","http://www.ncbi.nlm.nih.gov/pubmed/15709277","","Humans; Analytical Approach; Bioethics; Coercion; Developed Countries; Developing Countries; Global Health; Health Care and Public Health; Health Priorities; International Cooperation; Mandatory Programs; Personal Autonomy; Public Health; Social Justice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D8QN8G4L","journalArticle","1969","Ogata, Y.","Definition of a public health nurse","[Hokenfu zasshi] The Japanese journal for public health nurse","","0047-1844","","","","1969","2023-01-17 12:05:20","2023-01-17 12:05:20","","53","","7","25","","","","","","","","","","Japanese","","","Scopus","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H6XUQFZV","bookSection","2016","Ortmann, Leonard W.; Barrett, Drue H.; Saenz, Carla; Bernheim, Ruth Gaare; Dawson, Angus; Valentine, Jo A.; Reis, Andreas","Public Health Ethics: Global Cases, Practice, and Context","Public Health Ethics: Cases Spanning the Globe","978-3-319-23846-3 978-3-319-23847-0","","","http://www.ncbi.nlm.nih.gov/books/NBK435780/","Introducing public health ethics poses two special challenges. First, it is a relatively new field that combines public health and practical ethics. Its unfamiliarity requires considerable explanation, yet its scope and emergent qualities make delineation difficult. Moreover, while the early development of public health ethics occurred in a western context, its reach, like public health itself, has become global. A second challenge, then, is to articulate an approach specific enough to provide clear guidance yet sufficiently flexible and encompassing to adapt to global contexts. Broadly speaking, public health ethics helps guide practical decisions affecting population or community health based on scientific evidence and in accordance with accepted values and standards of right and wrong. In these ways, public health ethics builds on its parent disciplines of public health and ethics. This dual inheritance plays out in the definition the U.S. Centers for Disease Control and Prevention (CDC) offers of public health ethics: “A systematic process to clarify, prioritize, and justify possible courses of public health action based on ethical principles, values and beliefs of stakeholders, and scientific and other information” (CDC 2011). Public health ethics shares with other fields of practical and professional ethics both the general theories of ethics and a common store of ethical principles, values, and beliefs. It differs from these other fields largely in the nature of challenges that public health officials typically encounter and in the ethical frameworks it employs to address these challenges. Frameworks provide methodical approaches or procedures that tailor general ethical theories, principles, values, and beliefs to the specific ethical challenges that arise in a particular field. Although no framework is definitive, many are useful, and some are especially effective in particular contexts. This chapter will conclude by setting forth a straightforward, stepwise ethics framework that provides a tool for analyzing the cases in this volume and, more importantly, one that public health practitioners have found useful in a range of contexts. For a public health practitioner, knowing how to employ an ethics framework to address a range of ethical challenges in public health—a know-how that depends on practice—is the ultimate take-home message.","2016","2023-01-17 12:05:20","2023-01-17 12:05:20","2023-01-13 17:31:03","","","","","","","Public Health Ethics","","","","","Springer","Cham (CH)","eng","Copyright 2016, The Author(s).","","","","PubMed","NBK435780","PMID: 28590692","","C:\Users\Papa ours\Zotero\storage\PNRSBAYU\NBK435780.html; ","http://www.ncbi.nlm.nih.gov/pubmed/28590692","","","H. Barrett, Drue; W. Ortmann, Leonard; Dawson, Angus; Saenz, Carla; Reis, Andreas; Bolan, Gail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UJYBGU9K","journalArticle","2000","Owen, P.","Public health - Origins and definitions","Journal of Community Nursing","","0263-4465","","","Pat Owen discusses the history of public health and asks if community nurse are up to the challenge of initiating and implementing public health policy. ©PTM Publishers Limited.","2000","2023-01-17 12:05:20","2023-01-17 23:15:35","","XIII-XIV","","10","14","","","","","","","","","","English","","","Scopus","","Scopus","","","","","","","Disease prevention; Meeting specific health needs; Multidisciplinary; Public health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IN8N2I5G","journalArticle","2017","Oliver, Kathryn A.; de Vocht, Frank","Defining 'evidence' in public health: a survey of policymakers' uses and preferences","European Journal of Public Health","","1101-1262","10.1093/eurpub/ckv082","https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=124078954&lang=fr&site=ehost-live","Public health (PH) policymakers are encouraged to use evidence in the decision-making process. However, little is known about what types of evidence policymakers working in local settings prefer to use. This study aims to evaluate policymakers' needs and sources of information, at regional and local levels. Methods: An electronic survey with telephone follow-up was carried out among PH policymakers and evidence producers (n = 152) working in a large UK city. Respondents were asked which types of evidence they used regularly, found most useful and what were their main sources of information. Semi-structured interviews (n = 23) added were analysed quantitatively in addition to the categorical data generated by the survey. Results: Policymakers use a much greater range of evidence and information than is often indicated in the literature on evidence-based policy. Local data were by far the most used (n = 95%) and most valued (n =85%) type of information, followed by practice guidelines. The main sources of information were Government websites (84%), followed by information obtained through personal contacts (71%), including PH professionals, council officers and politicians. Academics were rarely consulted and research evidence was rarely seen as directly relevant. Conclusions: Policymakers use a wider range of evidence types than previously discussed in the literature. Although local data were most valued by policymakers, results suggest that these were accessed through personal contacts, rather than specialized organizations. Systems to provide local high-quality evidence for PH policy should be supported.","2017-05-02","2023-01-17 12:05:20","2023-01-17 12:05:20","2023-01-13 16:50:26","112-117","","","27","","EUR J PUBLIC HEALTH","Defining 'evidence' in public health","","","","","","","","","","","","EBSCOhost","","Publisher: Oxford University Press / USA","","C:\Users\Papa ours\Zotero\storage\E4ZN6M4E\Oliver et de Vocht - 2017 - Defining 'evidence' in public health a survey of .pdf; C:\Users\Papa ours\Zotero\storage\8INLPVWJ\display.html","","","Public Health; Decision Making; Health Policy; Human; Public Figures; Surveys; United Kingdom; Urban Areas -- United Kingdom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U73UCZ58","journalArticle","2022","Parker, Arifa; Dawood, Halima","SARS-CoV-2 transmission: time to rethink public health strategy","The Lancet. Infectious Diseases","","1474-4457","10.1016/S1473-3099(22)00137-2","","","2022-06","2023-01-17 12:05:20","2023-01-17 12:05:20","","748-750","","6","22","","Lancet Infect Dis","SARS-CoV-2 transmission","","","","","","","eng","","","","","PubMed","","PMID: 35298902 PMCID: PMC8920515","","; C:\Users\Papa ours\Zotero\storage\AENX53M6\Parker et Dawood - 2022 - SARS-CoV-2 transmission time to rethink public he.pdf","http://www.ncbi.nlm.nih.gov/pubmed/35298902","","Humans; Public Health; COVID-19; SARS-CoV-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2T6K7AHD","journalArticle","2021","Oyebode, Oyinlola; Ramsay, Sheena E.; Brayne, Carol","Public health research in the UK to understand and mitigate the impact of COVID-19 and COVID-19 response measures","Journal of Epidemiology and Community Health","","1470-2738","10.1136/jech-2020-214997","","This paper reflects concerns that funding and attention should be expanded from the important focus on those suffering and dying from COVID-19, and the safety and resources of healthcare professionals, to address wider questions on the (unequal) health and well-being impacts of COVID-19 and associated response measures. While immediate priorities such as those outlined in the WHO research agenda are undoubtedly important, additional urgent questions must be addressed. These include questions focused on (1) the non-virus impacts of preparing health and social care systems to cope with COVID-19 and (2) the health effects mediated by the educational, economic and social injuries sustained during the pandemic. Long-term, sustained and co-ordinated interdisciplinary research funding will be needed to address the long-lasting impacts of COVID-19 and its response measures.","2021-03","2023-01-17 12:05:20","2023-01-17 12:05:20","","209-212","","3","75","","J Epidemiol Community Health","","","","","","","","eng","","","","","PubMed","","PMID: 33028615","","","http://www.ncbi.nlm.nih.gov/pubmed/33028615","","Humans; Public Health; Public health; Health Policy; COVID-19; SARS-CoV-2; Adaptation, Psychological; Health Personnel; Health Planning; Health Services Research; Healthcare Disparities; Inequalities; Pandemics; Policy; Population Health; Social Class","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SN3AEYK8","journalArticle","2017","Palmedo, Chris; Sembajwe, Grace; Geltman, Elizabeth; Heller, Daliah; Roberts, Lynn; Freudenberg, Nicholas","Defining Roles for Schools and Programs of Public Health in the Age of Trump","American Journal of Public Health","","1541-0048","10.2105/AJPH.2017.303897","","","2017-08","2023-01-17 12:05:20","2023-01-17 12:05:20","","1242-1244","","8","107","","Am J Public Health","","","","","","","","eng","","","","","PubMed","","PMID: 28700291 PMCID: PMC5508168","","; C:\Users\Papa ours\Zotero\storage\NIQC7SBQ\Palmedo et al. - 2017 - Defining Roles for Schools and Programs of Public .pdf","http://www.ncbi.nlm.nih.gov/pubmed/28700291","","Humans; Public Health; Federal Government; Politics; Schools, Public Health; United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7AVJF9XG","journalArticle","2017","Parker, Jessica L.; Dolce, Maria C.","Defining the Dental Hygienist's Role in Improving Population Health through Interprofessional Collaboration","Journal of dental hygiene: JDH","","1553-0205","","","","2017-04","2023-01-17 12:05:20","2023-01-17 12:05:20","","4-5","","2","91","","J Dent Hyg","","","","","","","","eng","","","","","PubMed","","PMID: 29118250","","","http://www.ncbi.nlm.nih.gov/pubmed/29118250","","Humans; Population Health; Delivery of Health Care; Dental Care; Dental Hygienists; Patient Care Team","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
