"Author","Title","DOI","citations"
"O'Neill, Onora","Public health or clinical ethics: thinking beyond borders","10.1111/j.1747-7093.2002.tb00395.x","Citato da 132"
"Oliver, Kathryn A.; de Vocht, Frank","Defining 'evidence' in public health: a survey of policymakers' uses and preferences","10.1093/eurpub/ckv082","Citato da 5"
"Parker, Arifa; Dawood, Halima","SARS-CoV-2 transmission: time to rethink public health strategy","10.1016/S1473-3099(22)00137-2","Citato da 1"
"Oyebode, Oyinlola; Ramsay, Sheena E.; Brayne, Carol","Public health research in the UK to understand and mitigate the impact of COVID-19 and COVID-19 response measures","10.1136/jech-2020-214997","Citato da 8"
"Palmedo, Chris; Sembajwe, Grace; Geltman, Elizabeth; Heller, Daliah; Roberts, Lynn; Freudenberg, Nicholas","Defining Roles for Schools and Programs of Public Health in the Age of Trump","10.2105/AJPH.2017.303897","Citato da 3"
"Patrick, Walter K.; Cadman, Edwin C.","Changing emphases in public health and medical education in health care reform","10.1177/101053950201400108","Citato da 16"
"Parry, S. M.; Palmer, S. R.","The public health significance of VTEC O157","10.1111/j.1365-2672.2000.tb05326.x","Citato da 56"
"Petro, James B.; Relman, David A.","Public health. Understanding threats to scientific openness","10.1126/science.1092493","Citato da 39"
"Plante, Charles; Sandhu, Navdeep; Bandara, Thilina; Fuller, Daniel; Neudorf, Cordell","Defining the ""local public health unit"" for public health systems and services research in Canada","10.17269/s41997-022-00714-9","Pas d'informations sur GS"
"Polisena, Julie; Ospina, Maria; Sanni, Omolara; Matenchuk, Brittany; Livergant, Rachel; Amjad, Sana; Zoric, Igor; Haddad, Nisrine; Morrison, Andra; Wilson, Kumanan; Bogoch, Isaac; Welch, Vivian A.","Public health measures to reduce the risk of SARS-CoV-2 transmission in Canada during the early days of the COVID-19 pandemic: a scoping review","10.1136/bmjopen-2020-046177","Citato da 15"
"Pommier, Jeanine; Grimaud, Olivier","[Essential public health functions: history, definition and potential applications]","10.3917/spub.070.0009","Citato da 166"
"Ramos, V.","Process definition on information systems for epidemiology and public health","10.1007/978-3-319-03005-0_78","Pas d'informations sur GS"
