Departement	croissance	etranger	urbain	jeune	age	chomage	agriculteur	artisan	cadre	employe	ouvrier	profinter	fiscalite	criminalite	fecondite	region
67	4.31	0.072	0.443	0.261	0.127	0.075	0.02	0.051	0.113	0.259	0.362	0.195	2730.9	57.3	52.7	1
68	3.5	0.09	0.59	0.267	0.128	0.072	0.022	0.052	0.088	0.25	0.393	0.196	2809	50.2	55.1	1
24	2.47	0.029	0.253	0.221	0.219	0.121	0.132	0.112	0.067	0.253	0.29	0.147	2530	34.1	43.8	2
33	7.65	0.044	0.634	0.251	0.155	0.128	0.035	0.085	0.119	0.278	0.275	0.208	3806.5	66.8	45.9	2
40	4.86	0.028	0.267	0.234	0.194	0.102	0.096	0.1	0.68	0.26	0.317	0.158	2713.9	43.5	45	2
47	2.02	0.054	0.395	0.238	0.2	0.13	0.14	0.104	0.073	0.248	0.279	0.156	2985.3	45	47.2	2
64	4.51	0.044	0.513	0.238	0.183	0.118	0.081	0.095	0.09	0.267	0.274	0.192	2958	51.6	44.9	2
3	-2.63	0.031	0.464	0.227	0.204	0.135	0.086	0.095	0.07	0.262	0.311	0.176	3159.6	39	42.7	3
15	-2.68	0.012	0.227	0.233	0.195	0.109	0.199	0.118	0.057	0.229	0.253	0.144	2849	24.9	42.3	3
43	0.53	0.029	0.21	0.249	0.185	0.102	0.134	0.108	0.061	0.214	0.318	0.164	2529.3	24.6	46.8	3
63	0.52	0.058	0.467	0.245	0.154	0.111	0.061	0.085	0.095	0.26	0.3	0.199	2856.6	46.7	43	3
14	5.09	0.018	0.354	0.285	0.135	0.12	0.061	0.08	0.083	0.262	0.32	0.194	3096.8	61	51.7	4
50	3.45	0.008	0.247	0.277	0.161	0.1	0.142	0.083	0.059	0.231	0.311	0.173	2922.1	31.5	56.8	4
61	-0.56	0.024	0.216	0.274	0.165	0.103	0.122	0.082	0.052	0.228	0.36	0.155	2862.4	38.7	51.2	4
21	5.02	0.056	0.509	0.267	0.143	0.099	0.047	0.072	0.104	0.271	0.303	0.203	2928.2	45.4	49.9	5
58	-1.71	0.027	0.252	0.233	0.211	0.118	0.081	0.095	0.065	0.251	0.34	0.168	2952.4	43.2	47.6	5
71	-2.01	0.057	0.377	0.255	0.178	0.108	0.08	0.089	0.066	0.237	0.356	0.172	2996.5	37.4	49.5	5
89	3.89	0.054	0.242	0.262	0.187	0.107	0.066	0.09	0.071	0.256	0.351	0.166	2803.6	41	54.3	5
22	-0.11	0.007	0.206	0.256	0.189	0.114	0.139	0.1	0.076	0.238	0.271	0.176	2601.5	40.1	48.3	6
29	1.19	0.009	0.379	0.258	0.172	0.113	0.09	0.089	0.088	0.262	0.277	0.193	2818.2	35.2	51.4	6
35	6.81	0.014	0.426	0.279	0.136	0.092	0.09	0.075	0.101	0.257	0.291	0.188	2765.3	36.6	50.8	6
56	5.25	0.007	0.26	0.274	0.16	0.121	0.1	0.095	0.073	0.246	0.312	0.175	2607.8	36.5	52.4	6
18	0.32	0.047	0.404	0.244	0.183	0.108	0.058	0.084	0.073	0.25	0.356	0.179	3257.3	40.9	48.4	7
28	9.48	0.059	0.338	0.293	0.143	0.092	0.047	0.071	0.083	0.254	0.365	0.18	2962.2	46.2	55.2	7
36	-2.02	0.021	0.282	0.228	0.21	0.101	0.096	0.086	0.06	0.245	0.363	0.15	3043.1	36.7	44.2	7
37	5.24	0.035	0.533	0.261	0.157	0.105	0.047	0.078	0.101	0.265	0.315	0.195	3142.6	46.3	48.1	7
41	3.75	0.041	0.285	0.253	0.187	0.089	0.069	0.081	0.067	0.247	0.375	0.161	3229.4	31.2	49.1	7
45	8.37	0.072	0.51	0.274	0.146	0.093	0.036	0.068	0.108	0.265	0.328	0.196	3613	49.2	53	7
8	-1.87	0.056	0.324	0.292	0.138	0.144	0.065	0.069	0.065	0.24	0.386	0.176	2476.5	52.7	55.6	8
10	0.22	0.057	0.424	0.27	0.155	0.113	0.068	0.067	0.067	0.227	0.401	0.17	3278.1	42.5	51.9	8
51	3.07	0.043	0.54	0.283	0.127	0.109	0.072	0.061	0.091	0.256	0.333	0.188	2978	55.7	53.1	8
52	-2.84	0.037	0.319	0.276	0.158	0.103	0.071	0.069	0.063	0.243	0.387	0.167	2274	40.9	55.5	8
20	4.18	0.099	0.443	0.233	0.175	0.153	0.052	0.137	0.086	0.301	0.256	0.169	2965.5	88.5	50.5	9
25	1.94	0.071	0.495	0.285	0.122	0.091	0.041	0.066	0.086	0.228	0.381	0.199	3163.3	46.2	51.4	10
39	2.77	0.056	0.23	0.266	0.17	0.076	0.061	0.084	0.063	0.229	0.392	0.172	2808.1	33.8	52.9	10
70	-0.66	0.043	0.129	0.283	0.162	0.111	0.075	0.077	0.057	0.229	0.391	0.171	2224.8	33.6	51.6	10
90	1.87	0.075	0.572	0.274	0.131	0.113	0.013	0.066	0.093	0.246	0.366	0.215	3060.6	43.1	52.4	10
27	10.99	0.035	0.213	0.298	0.127	0.105	0.043	0.078	0.079	0.231	0.388	0.18	2731.6	45.5	55.5	11
76	2.62	0.031	0.644	0.286	0.133	0.137	0.031	0.069	0.087	0.262	0.349	0.202	3802.8	63.5	56.1	11
75	-1.17	0.158	1	0.186	0.159	0.097	0	0.075	0.321	0.255	0.134	0.215	3443.3	139.9	51.1	12
77	21.87	0.085	0.561	0.312	0.098	0.08	0.012	0.065	0.126	0.294	0.277	0.227	2858.6	61	55.3	12
78	9.24	0.104	0.844	0.296	0.092	0.067	0.004	0.058	0.22	0.276	0.197	0.245	3321.1	65.2	55.8	12
91	9.82	0.089	0.871	0.286	0.09	0.072	0.004	0.054	0.171	0.301	0.22	0.25	3470.4	69.4	54.9	12
92	0.31	0.13	1	0.236	0.13	0.082	0	0.059	0.249	0.282	0.177	0.232	4533.1	69.7	58	12
93	4.12	0.189	1	0.285	0.097	0.119	0	0.057	0.097	0.333	0.3	0.212	4122.3	73	64.4	12
94	1.88	0.128	1	0.253	0.118	0.091	0.001	0.06	0.167	0.314	0.225	0.234	3942.1	80.4	56.7	12
95	14.34	0.11	0.882	0.306	0.088	0.088	0.003	0.057	0.142	0.313	0.243	0.243	3065.7	74.9	59	12
11	6.39	0.058	0.299	0.223	0.213	0.167	0.09	0.103	0.08	0.268	0.285	0.174	3477.7	69.4	48.7	13
30	10.73	0.064	0.425	0.25	0.169	0.159	0.048	0.106	0.097	0.253	0.299	0.197	3432.4	81.9	50.6	13
34	12.18	0.062	0.515	0.241	0.172	0.164	0.041	0.108	0.132	0.279	0.23	0.21	3862.9	92.9	48.8	13
48	-1.55	0.037	0	0.236	0.207	0.08	0.182	0.115	0.07	0.225	0.22	0.189	2441.3	31.2	46	13
66	8.63	0.072	0.434	0.226	0.215	0.173	0.062	0.124	0.093	0.291	0.255	0.174	3408.5	96.3	47.8	13
19	-1.83	0.037	0.352	0.216	0.223	0.102	0.119	0.1	0.071	0.246	0.293	0.171	3247.3	35.6	40.8	14
23	-5.73	0.015	0	0.198	0.254	0.115	0.208	0.096	0.054	0.244	0.254	0.145	2216.9	25.6	43.7	14
87	-0.21	0.26	0.481	0.219	0.2	0.098	0.069	0.078	0.089	0.266	0.306	0.192	2944.5	36.8	39.5	14
54	-0.53	0.06	0.653	0.272	0.132	0.111	0.021	0.062	0.11	0.284	0.304	0.219	2964.5	48.3	52	15
55	-1.87	0.034	0.259	0.277	0.158	0.107	0.084	0.07	0.063	0.245	0.357	0.181	2420.9	52.5	55.5	15
57	0.34	0.087	0.559	0.278	0.118	0.116	0.016	0.057	0.08	0.259	0.377	0.211	2712.8	37.9	52.6	15
88	-1.9	0.046	0.289	0.275	0.155	0.119	0.048	0.078	0.064	0.228	0.412	0.171	2442.3	34.2	53.4	15
9	-0.17	0.055	0	0.215	0.228	0.12	0.09	0.103	0.073	0.261	0.298	0.175	3274.1	45.3	44.1	16
12	-2.58	0.027	0.23	0.224	0.218	0.079	0.178	0.109	0.067	0.224	0.265	0.157	3042.6	30.2	43.1	16
31	12.85	0.051	0.702	0.239	0.142	0.114	0.029	0.082	0.159	0.267	0.226	0.237	4169.4	68.1	45.5	16
32	0.44	0.035	0.132	0.213	0.22	0.092	0.222	0.098	0.072	0.227	0.233	0.147	2635.2	31.1	42.8	16
46	1.02	0.032	0.145	0.218	0.222	0.107	0.172	0.118	0.074	0.238	0.237	0.161	2537.8	36.4	44.5	16
65	-1.46	0.035	0.346	0.219	0.195	0.139	0.086	0.107	0.08	0.275	0.267	0.186	2874.2	56.6	43.4	16
81	1.32	0.042	0.397	0.234	0.2	0.112	0.091	0.097	0.078	0.248	0.31	0.174	2812.7	39.1	46.6	16
82	5.72	0.048	0.265	0.238	0.194	0.112	0.144	0.092	0.073	0.237	0.289	0.165	2715.4	43.7	48	16
59	0.66	0.054	0.764	0.307	0.122	0.156	0.02	0.066	0.1	0.268	0.338	0.208	3336.4	68.6	60	17
62	1.73	0.021	0.672	0.307	0.133	0.153	0.041	0.07	0.068	0.253	0.385	0.184	2471.5	48.6	58.5	17
44	5.6	0.017	0.597	0.288	0.134	0.121	0.05	0.075	0.11	0.269	0.291	0.205	3328.6	50.8	50.8	18
49	4.37	0.02	0.418	0.301	0.141	0.111	0.082	0.072	0.084	0.24	0.346	0.176	2819.5	44	53.3	18
53	2.74	0.008	0.204	0.288	0.158	0.069	0.176	0.07	0.056	0.212	0.34	0.147	3040.2	29.6	53.8	18
72	1.88	0.016	0.374	0.274	0.158	0.109	0.068	0.072	0.071	0.257	0.364	0.168	2821.1	33.7	51.4	18
85	5.52	0.006	0.158	0.277	0.165	0.094	0.101	0.093	0.057	0.23	0.37	0.149	2592.2	34	51.1	18
2	0.89	0.035	0.358	0.289	0.143	0.133	0.049	0.07	0.071	0.24	0.4	0.171	2854.4	52.2	56.9	19
60	9.89	0.062	0.363	0.306	0.11	0.099	0.022	0.068	0.097	0.253	0.362	0.199	3047.5	48.6	57.3	19
80	0.93	0.024	0.339	0.286	0.143	0.14	0.06	0.072	0.082	0.247	0.368	0.172	3080.7	54.8	53.6	19
16	0.61	0.02	0.381	0.248	0.181	0.119	0.089	0.09	0.073	0.235	0.352	0.161	3343.7	39.8	46.9	20
17	3.15	0.014	0.364	0.246	0.192	0.145	0.099	0.11	0.075	0.266	0.283	0.167	3080.4	51.6	47.8	20
79	1.53	0.014	0.19	0.262	0.173	0.105	0.12	0.087	0.072	0.252	0.315	0.154	2721.4	26.1	48.3	20
86	2.38	0.017	0.378	0.253	0.172	0.107	0.077	0.077	0.093	0.268	0.305	0.181	2606.8	33.9	43.7	20
4	10	0.046	0.19	0.235	0.19	0.123	0.065	0.127	0.09	0.261	0.256	0.2	4033.1	57.7	52.3	21
5	7.82	0.037	0.294	0.25	0.173	0.089	0.072	0.117	0.078	0.302	0.23	0.201	3364.9	49.2	53.5	21
6	10.56	0.091	0.945	0.21	0.217	0.119	0.012	0.124	0.127	0.316	0.227	0.194	4335.4	123.6	50	21
13	2.26	0.065	0.869	0.253	0.151	0.169	0.014	0.085	0.135	0.292	0.245	0.228	3714.6	97.2	50.9	21
83	14.72	0.063	0.681	0.238	0.187	0.163	0.025	0.126	0.103	0.298	0.245	0.204	3464.5	100.8	53.7	21
84	9.14	0.078	0.525	0.26	0.156	0.141	0.059	0.101	0.095	0.253	0.302	0.19	4191.5	75.1	54	21
1	12.19	0.095	0.339	0.285	0.133	0.07	0.045	0.084	0.088	0.24	0.347	0.195	2772.3	38.7	52.3	22
7	3.84	0.039	0.281	0.252	0.184	0.105	0.085	0.106	0.073	0.224	0.329	0.184	2730.1	34.7	48.4	22
26	6.63	0.058	0.412	0.269	0.156	0.123	0.066	0.096	0.086	0.232	0.316	0.203	3493.9	63.8	54.5	22
38	8.53	0.079	0.558	0.279	0.123	0.093	0.026	0.087	0.122	0.237	0.304	0.224	4250.1	65	52.3	22
42	0.97	0.071	0.695	0.268	0.159	0.12	0.042	0.091	0.083	0.238	0.356	0.189	2831.4	56.4	49.7	22
69	4.71	0.097	0.841	0.266	0.128	0.091	0.02	0.077	0.142	0.262	0.268	0.23	3971.8	83.1	54.9	22
73	7.58	0.066	0.479	0.263	0.14	0.075	0.029	0.1	0.087	0.261	0.305	0.219	5029.7	69.9	52.1	22
74	15.09	0.086	0.566	0.276	0.116	0.063	0.025	0.097	0.093	0.246	0.338	0.2	3463.1	60.6	53.7	22
